miss_type,B1_sim,comp_mean,N,T.obs,B1_est,B1_pow,B0_est,B0_pow,B1_se,B0_se,conv,bias_mean,model_observations,B1_bias
block,0.3,0.4,20,20,0.129,0.242,-0.01,0.061,0.11,0.587,1000,0.673,100,-0.171
block,0.3,0.4,20,50,0.226,0.982,0.017,0.05,0.054,0.562,1000,0.438,340,-0.074
block,0.3,0.4,20,100,0.267,1,0.015,0.075,0.036,0.549,1000,0.311,740,-0.033
block,0.3,0.4,100,20,0.13,0.743,-0.012,0.061,0.049,0.265,1000,0.674,500,-0.17
block,0.3,0.4,100,50,0.228,1,-0.005,0.051,0.024,0.254,1000,0.437,1700,-0.072
block,0.3,0.4,100,100,0.266,1,0.012,0.057,0.016,0.25,1000,0.311,3700,-0.034
block,0.3,0.6,20,20,0.175,0.602,-0.016,0.067,0.078,0.571,1000,0.558,180,-0.125
block,0.3,0.6,20,50,0.253,1,0.018,0.056,0.042,0.557,1000,0.358,540,-0.047
block,0.3,0.6,20,100,0.278,1,0.018,0.071,0.029,0.548,1000,0.253,1140,-0.022
block,0.3,0.6,100,20,0.179,0.999,-0.009,0.058,0.035,0.258,1000,0.559,900,-0.121
block,0.3,0.6,100,50,0.253,1,-0.006,0.053,0.019,0.251,1000,0.357,2700,-0.047
block,0.3,0.6,100,100,0.278,1,0.012,0.057,0.013,0.249,1000,0.254,5700,-0.022
block,0.3,0.8,20,20,0.209,0.899,-0.017,0.067,0.063,0.564,1000,0.486,260,-0.091
block,0.3,0.8,20,50,0.264,1,0.016,0.049,0.036,0.555,1000,0.31,740,-0.036
block,0.3,0.8,20,100,0.284,1,0.019,0.071,0.025,0.547,1000,0.22,1540,-0.016
block,0.3,0.8,100,20,0.21,1,-0.01,0.054,0.028,0.255,1000,0.486,1300,-0.09
block,0.3,0.8,100,50,0.266,1,-0.006,0.052,0.016,0.25,1000,0.311,3700,-0.034
block,0.3,0.8,100,100,0.283,1,0.012,0.057,0.011,0.248,1000,0.22,7700,-0.017
block,0.3,1,20,20,0.23,0.992,-0.017,0.07,0.051,0.559,1000,0.433,380,-0.07
block,0.3,1,20,50,0.273,1,0.017,0.049,0.031,0.553,1000,0.277,980,-0.027
block,0.3,1,20,100,0.288,1,0.017,0.071,0.022,0.546,1000,0.197,1980,-0.012
block,0.3,1,100,20,0.23,1,-0.01,0.054,0.023,0.253,1000,0.434,1900,-0.07
block,0.3,1,100,50,0.273,1,-0.005,0.051,0.014,0.249,1000,0.277,4900,-0.027
block,0.3,1,100,100,0.287,1,0.012,0.058,0.01,0.248,1000,0.197,9900,-0.013
block,0.5,0.4,20,20,0.334,0.84,-0.015,0.062,0.105,0.809,1000,0.845,100,-0.166
block,0.5,0.4,20,50,0.415,1,0.024,0.049,0.051,0.785,1000,0.592,340,-0.085
block,0.5,0.4,20,100,0.461,1,0.021,0.074,0.033,0.769,1000,0.428,740,-0.039
block,0.5,0.4,100,20,0.339,1,-0.016,0.057,0.047,0.366,1000,0.845,500,-0.161
block,0.5,0.4,100,50,0.418,1,-0.007,0.049,0.023,0.354,1000,0.589,1700,-0.082
block,0.5,0.4,100,100,0.461,1,0.016,0.057,0.015,0.35,1000,0.428,3700,-0.039
block,0.5,0.6,20,20,0.365,0.997,-0.023,0.069,0.074,0.794,1000,0.729,180,-0.135
block,0.5,0.6,20,50,0.445,1,0.025,0.056,0.039,0.779,1000,0.489,540,-0.055
block,0.5,0.6,20,100,0.474,1,0.026,0.069,0.026,0.767,1000,0.35,1140,-0.026
block,0.5,0.6,100,20,0.37,1,-0.013,0.059,0.033,0.359,1000,0.73,900,-0.13
block,0.5,0.6,100,50,0.446,1,-0.009,0.052,0.018,0.352,1000,0.489,2700,-0.054
block,0.5,0.6,100,100,0.474,1,0.017,0.057,0.012,0.348,1000,0.351,5700,-0.026
block,0.5,0.8,20,20,0.396,1,-0.023,0.067,0.059,0.787,1000,0.649,260,-0.104
block,0.5,0.8,20,50,0.459,1,0.023,0.049,0.033,0.776,1000,0.426,740,-0.041
block,0.5,0.8,20,100,0.481,1,0.026,0.071,0.022,0.766,1000,0.305,1540,-0.019
block,0.5,0.8,100,20,0.399,1,-0.013,0.051,0.026,0.356,1000,0.649,1300,-0.101
block,0.5,0.8,100,50,0.46,1,-0.008,0.052,0.015,0.35,1000,0.428,3700,-0.04
block,0.5,0.8,100,100,0.481,1,0.017,0.058,0.01,0.348,1000,0.306,7700,-0.019
block,0.5,1,20,20,0.416,1,-0.023,0.07,0.048,0.781,1000,0.596,380,-0.084
block,0.5,1,20,50,0.468,1,0.024,0.05,0.029,0.774,1000,0.385,980,-0.032
block,0.5,1,20,100,0.485,1,0.023,0.071,0.02,0.765,1000,0.275,1980,-0.015
block,0.5,1,100,20,0.416,1,-0.014,0.055,0.021,0.354,1000,0.597,1900,-0.084
block,0.5,1,100,50,0.469,1,-0.008,0.051,0.013,0.349,1000,0.385,4900,-0.031
block,0.5,1,100,100,0.485,1,0.017,0.058,0.009,0.347,1000,0.275,9900,-0.015
block,0.7,0.4,20,20,0.565,0.997,-0.029,0.062,0.092,1.321,1000,1.165,100,-0.135
block,0.7,0.4,20,50,0.606,1,0.041,0.05,0.044,1.304,1000,0.916,340,-0.094
